                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.161,                 3.3756,                 4.1232,                0.00302,                0.88073,                0.24145,                0.05058,                 2.8546,                 3.7901,                 4.1272,                0.00038,                0.00038,                0.00038
                      1,                 2.8817,                 3.1694,                 3.8775,                0.00308,                0.89908,                0.44617,                0.09175,                 2.6213,                 3.7264,                  3.897,             0.00077228,             0.00077228,             0.00077228
                      2,                 2.7868,                 3.0644,                  3.645,                0.01449,                0.88073,                0.26827,                0.06635,                 2.6229,                 5.8037,                 3.3327,              0.0011566,              0.0011566,              0.0011566
                      3,                  2.635,                 3.0257,                 3.3898,                0.02743,                 0.9052,                 0.1954,                0.05154,                  2.419,                 21.802,                 3.4606,              0.0015331,              0.0015331,              0.0015331
                      4,                 2.4707,                 2.9662,                 3.1942,                0.09378,                0.80428,                0.27978,                0.09085,                 2.5068,                 12.737,                 5.5191,              0.0019016,              0.0019016,              0.0019016
                      5,                 2.5151,                 2.9402,                 3.1109,                0.14465,                0.24771,                0.09831,                 0.0307,                 2.2793,                 5.8762,                 2.9675,               0.001901,               0.001901,               0.001901
                      6,                 2.4443,                 2.8469,                 2.9966,                0.16946,                0.34862,                0.16094,                0.04994,                 2.4668,                 3.3706,                 3.1739,               0.001901,               0.001901,               0.001901
                      7,                 2.3688,                 2.7726,                 2.8562,                0.18382,                0.29664,                0.13541,                  0.056,                 2.2946,                 3.3691,                 3.1573,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2942,                 2.6678,                 2.7975,                0.15913,                0.33639,                0.10776,                0.04167,                 2.3724,                 3.2336,                 3.3693,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2554,                 2.5643,                 2.7887,                0.10137,                 0.3792,                0.08747,                0.02975,                 2.2379,                 6.6547,                 3.1389,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2083,                 2.5266,                 2.7411,                0.23711,                0.33028,                0.17935,                0.06624,                 2.2403,                 3.1068,                 3.1673,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.1615,                  2.472,                 2.6946,                0.29756,                0.21713,                0.13672,                0.03477,                 2.8305,                 5.2642,                 3.7424,               0.001802,               0.001802,               0.001802
                     12,                 2.1261,                  2.328,                 2.6067,                0.26993,                0.20795,                0.15139,                0.03571,                 2.4614,                 4.3824,                 3.3441,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0807,                 2.2929,                  2.576,                0.28364,                 0.3792,                0.28068,                 0.1231,                 1.9767,                 2.8548,                  2.654,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0218,                 2.1833,                  2.557,                0.30176,                0.36086,                 0.2395,                0.09089,                 2.0368,                 2.7771,                 2.7432,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9303,                 2.0759,                 2.4655,                0.52679,                0.58214,                0.54286,                0.26806,                 1.7909,                 1.9954,                 2.4859,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.8819,                 1.9325,                 2.3946,                0.50145,                0.49541,                0.50272,                0.22085,                 1.7576,                 2.0281,                 2.5887,               0.001703,               0.001703,               0.001703
                     17,                 1.8033,                  1.896,                 2.3346,                0.45595,                0.52283,                0.50005,                0.25658,                 1.6528,                  2.128,                 2.3871,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6993,                 1.7826,                  2.249,                0.53439,                0.50191,                0.48816,                 0.2243,                  1.805,                 1.9888,                 2.6288,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6678,                 1.6954,                 2.2061,                0.49921,                0.56575,                0.53831,                0.27772,                 1.5619,                 2.2027,                 2.2876,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6938,                 1.6778,                 2.1961,                0.57756,                0.55352,                  0.579,                0.32501,                 1.7661,                 2.2079,                 2.4546,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6435,                 1.6467,                 2.1839,                0.62384,                0.65933,                0.69764,                0.42137,                 1.4282,                  1.736,                   2.16,               0.001604,               0.001604,               0.001604
                     22,                  1.526,                 1.5195,                 2.0569,                0.64847,                0.73089,                0.78438,                0.45178,                 1.4567,                 1.7415,                 2.1483,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5345,                 1.4881,                 2.0481,                0.73793,                0.66667,                0.78662,                0.46821,                 1.4425,                 1.4988,                 2.1822,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5393,                 1.4777,                  2.029,                0.83835,                0.73089,                0.84221,                0.50264,                  1.422,                 1.3676,                  2.159,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4945,                 1.4059,                 1.9738,                0.67947,                0.75229,                0.77338,                0.48211,                 1.4293,                 1.3884,                 2.1251,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4287,                  1.325,                 1.9302,                 0.7727,                 0.7737,                0.87121,                0.57705,                 1.2202,                 1.1868,                 1.9599,               0.001505,               0.001505,               0.001505
                     27,                 1.4364,                  1.321,                 1.9084,                0.78941,                0.79511,                0.85688,                0.51535,                 1.3375,                 1.2353,                 2.0483,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3605,                 1.3038,                 1.8449,                0.66325,                0.74084,                0.75706,                0.44463,                 1.3972,                 1.3486,                 2.1175,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.402,                 1.2997,                 1.8696,                0.79111,                0.85321,                0.89948,                0.60182,                  1.196,                  1.096,                  1.888,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4019,                 1.2589,                 1.8588,                0.75309,                0.79817,                0.84086,                0.55748,                 1.2173,                 1.1686,                 1.8814,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3643,                 1.2184,                 1.8421,                0.64042,                0.73089,                0.72527,                0.43669,                 1.4089,                 1.4662,                 2.0969,               0.001406,               0.001406,               0.001406
                     32,                 1.3443,                 1.1842,                  1.814,                0.83957,                0.70418,                0.86769,                0.53863,                 1.1977,                 1.2914,                   1.92,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2858,                 1.1496,                 1.7549,                0.60678,                0.69841,                0.68778,                0.39164,                 1.5031,                 1.4769,                 2.2443,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3433,                 1.1459,                  1.788,                0.88322,                0.74014,                0.90718,                0.63176,                 1.1219,                0.99397,                 1.7816,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3008,                  1.144,                 1.7689,                 0.8367,                0.89297,                0.93756,                0.63782,                 1.1224,                 1.0121,                 1.7814,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.265,                 1.1241,                 1.7234,                0.80976,                0.74195,                0.84265,                0.52538,                 1.2758,                 1.2283,                 1.9567,               0.001307,               0.001307,               0.001307
                     37,                 1.2372,                 1.1186,                 1.7012,                0.81423,                 0.8685,                0.89691,                0.62536,                 1.1054,                 1.0018,                  1.803,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2418,                 1.0639,                  1.696,                0.78551,                0.81651,                0.88804,                0.62214,                 1.0754,                 0.9959,                  1.766,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2268,                 1.0602,                  1.655,                0.90265,                0.85071,                0.94362,                0.67795,                 1.0394,                0.92902,                 1.7224,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1432,                 1.0322,                 1.6294,                0.83395,                0.84471,                0.91979,                0.67399,                 1.0216,                0.89699,                 1.6987,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1885,                 1.0127,                 1.6726,                0.89741,                0.89297,                0.95133,                0.69856,                0.98064,                0.83758,                 1.6654,               0.001208,               0.001208,               0.001208
                     42,                 1.2189,                 1.0281,                 1.6754,                0.88057,                 0.8685,                0.95305,                0.69784,                0.97028,                0.82644,                 1.6368,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2148,                0.99672,                  1.649,                0.90143,                0.89489,                0.95577,                0.69986,                 0.9488,                0.83062,                 1.6085,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1465,                0.94271,                 1.6155,                0.84366,                0.88073,                0.93938,                0.67686,                0.99667,                0.84268,                 1.6581,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1409,                0.93128,                 1.6329,                0.90933,                0.88937,                0.96381,                0.65958,                 1.1448,                0.83509,                 1.8292,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.142,                0.92817,                  1.624,                 0.9237,                0.87768,                0.95838,                0.67725,                 1.0609,                0.84332,                 1.7364,               0.001109,               0.001109,               0.001109
                     47,                 1.1539,                0.94804,                 1.6513,                0.92954,                0.88759,                0.97262,                0.73052,                0.94797,                0.74505,                 1.6098,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1433,                0.91139,                 1.6298,                0.93542,                0.88597,                0.95887,                0.67762,                 1.0865,                 0.8019,                 1.7045,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.146,                0.90114,                 1.6109,                0.93198,                0.92355,                0.97525,                0.74054,                0.87175,                0.71559,                 1.5273,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0888,                0.90377,                 1.5647,                0.88674,                0.81403,                0.91756,                0.65025,                 1.0043,                0.91497,                 1.6635,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0719,                0.84416,                 1.5334,                0.91826,                0.93272,                0.97853,                0.72176,                0.96632,                0.69172,                 1.6176,                0.00101,                0.00101,                0.00101
